,principal component 1,principal component 2,Principal component 3,0
93,3.30194335232,-0.523734814253,-0.233401950759,5
94,3.48599720762,-0.638331120176,-0.204640551434,5
95,3.63102559425,-0.540089726527,-0.175610572781,5
96,3.42371994698,-0.304271819909,-0.335543882219,5
97,3.69540061543,0.022411748109,-0.505882930491,5
98,3.63928549883,-0.409491393691,-0.251396824339,5
99,3.50423183737,-0.332103718364,-0.242037334135,5
100,2.90039751488,-0.121222601864,-0.539573049544,5
101,2.52215116924,-0.443164185148,-0.244613841519,5
102,2.89112929316,-0.218452614792,-0.378273268204,5
103,2.67846864668,-0.137939155202,-0.470803907641,5
104,0.625707607611,-1.1253377666,0.0834265340105,5
105,0.458832307667,-1.26390540085,0.185308198206,5
106,1.37243082578,-0.743079849125,-0.347040855211,5
107,2.11805970204,-0.158359766957,-0.311326404754,5
108,1.38943751103,-0.27148672398,-0.215298121665,5
109,0.75787996749,-0.741353353604,-0.0934939672209,5
110,0.990768113204,-1.20039535259,0.162458114725,5
111,0.590702774603,-1.53507390596,0.168218006487,5
112,0.189213329381,-1.75150463205,0.434590934302,5
113,0.595968744984,-1.43733378039,0.340961717379,5
114,0.88417490008,-0.775084918144,0.0900376308738,5
115,1.70371973887,-0.495526821563,-0.187565892898,5
116,2.6758101263,-0.150940913379,-0.387573704813,5
117,1.99948444827,-0.157092039304,-0.354088571671,5
118,2.34969573964,-0.236585373541,-0.334432697636,5
119,2.73083791336,0.0276859257317,-0.397371019563,5
120,1.81569729722,-0.593025816923,-0.308336254162,5
121,1.78547037682,-0.582663456545,-0.303544603081,5
