0.028,3.85,7.288,10
-0.086,3.811,6.799,0
-0.086,3.811,6.799,10
-0.268,3.945,6.579,0
-0.268,3.945,6.579,10
-0.488,4.137,6.311,10
-0.718,4.204,6.368,0
-0.718,4.204,6.368,10
-0.679,4.223,6.541,10
-0.747,4.3,6.818,0
-0.747,4.3,6.818,10
-0.804,4.338,6.589,10
-0.747,4.328,6.684,10
-0.785,4.328,6.991,10
-0.555,4.252,7.039,10
-0.517,4.319,6.981,10
-0.44,4.28,7.039,0
-0.44,4.28,7.039,10
-0.411,4.424,7.441,10
-0.277,4.558,7.527,0
-0.277,4.558,7.527,10
-0.057,4.74,7.661,10
0.239,4.97,7.814,0
0.239,4.97,7.814,10
0.459,4.884,8.159,10
0.737,4.731,8.274,0
0.737,4.731,8.274,10
0.871,4.52,8.552,10
0.593,4.635,8.619,0
0.593,4.635,8.619,10
0.268,4.865,9.376,10
0.057,4.654,10.142,10
-0.172,4.52,10.534,0
-0.172,4.52,10.534,10
-0.354,4.07,10.506,0
-0.354,4.07,10.506,10
-0.316,3.936,10.295,10
0.067,3.984,10.113,10
0.143,4.185,9.979,10
0.076,4.529,10.075,0
0.076,4.529,10.075,10
-0.105,5.181,10.496,0
-0.105,5.181,10.496,10
-0.287,5.88,10.659,0
-0.287,5.88,10.659,10
-0.411,6.742,10.812,10
-0.478,7.02,11.53,10
-0.335,7.067,12.632,0
-0.335,7.067,12.632,10
0.277,7.058,13.513,0
0.277,7.058,13.513,10
0.919,6.091,14.193,10
1.091,5.468,14.739,0
1.091,5.468,14.739,10
0.948,5.679,15.189,10
0.737,5.736,15.562,0
0.737,5.736,15.562,10
0.478,5.64,15.323,0
0.478,5.64,15.323,10
0.22,5.267,14.001,0
0.22,5.267,14.001,10
0.105,4.903,12.421,10
0.191,4.664,10.822,0
0.191,4.664,10.822,10
0.21,4.328,9.864,10
0.335,4.376,9.596,10
0.584,4.233,9.941,0
0.584,4.233,9.941,10
1.034,3.955,10.381,10
1.695,3.275,10.458,0
1.695,3.275,10.458,10
1.292,3.409,10.18,10
0.545,4.166,9.519,10
0.249,4.395,9.088,0
0.249,4.395,9.088,10
0.114,3.993,8.81,10
0.229,3.869,8.408,0
0.229,3.869,8.408,10
0.124,3.543,7.834,10
0.009,3.313,7.221,0
0.009,3.313,7.221,10
-0.067,3.035,6.857,0
-0.067,3.035,6.857,10
-0.134,2.863,6.627,0
-0.134,2.863,6.627,10
-0.306,2.557,6.167,10
-0.373,2.758,5.784,10
-0.469,2.672,5.516,10
-0.373,2.71,5.698,0
-0.373,2.71,5.698,10
-0.287,2.873,5.679,10
-0.153,2.892,5.717,0
-0.153,2.892,5.717,10
-0.086,3.131,5.88,10
-0.076,3.179,6.196,10
-0.057,3.419,6.569,0
-0.057,3.419,6.569,10
-0.067,3.706,7.02,10
-0.105,3.85,7.288,10
-0.143,4.07,7.537,0
-0.143,4.07,7.537,10
-0.191,4.223,7.776,10
-0.229,4.501,7.872,0
-0.229,4.501,7.872,10
-0.229,4.597,7.92,10
-0.268,4.683,8.37,0
-0.268,4.683,8.37,10
-0.316,4.673,9.203,10
-0.316,4.769,10.046,10
-0.43,4.759,10.659,0
-0.43,4.759,10.659,10
-0.555,4.865,11.08,10
-0.593,4.874,11.444,10
-0.641,5.209,11.262,10
-0.756,5.775,10.419,10
-0.948,6.004,10.084,0
-0.948,6.004,10.084,10
-0.756,6.033,10.496,0
-0.756,6.033,10.496,10
-0.957,6.32,11.109,10
-1.283,6.071,12.804,10
-1.283,6.071,12.804,10
-0.794,5.257,15.706,4
-0.794,5.257,15.706,10
